Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.150-173.252.79.88-34904-50019-17,131.202.240.150,34904,173.252.79.88,50019,2015-03-30 09:30:34,2,2,196.0,180.0,0
131.202.240.150-131.202.244.5-4555-53-17,131.202.240.150,4555,131.202.244.5,53,2015-03-30 09:30:30,1,1,34.0,141.0,0
131.202.240.150-131.202.6.3-30807-53-17,131.202.240.150,30807,131.202.6.3,53,2015-03-30 09:36:05,1,1,34.0,141.0,0
131.202.240.150-131.202.244.3-33706-53-17,131.202.240.150,33706,131.202.244.3,53,2015-03-30 09:38:32,1,1,36.0,235.0,0
131.202.240.150-209.148.205.16-60694-443-6,131.202.240.150,60694,209.148.205.16,443,2015-03-30 09:38:31,25,27,1380.0,48204.0,0
131.202.240.150-131.202.244.3-13816-53-17,131.202.240.150,13816,131.202.244.3,53,2015-03-30 09:39:59,1,1,32.0,82.0,0
131.202.240.150-69.171.255.36-36311-3478-17,131.202.240.150,36311,69.171.255.36,3478,2015-03-30 09:30:34,1,1,28.0,32.0,0
131.202.240.150-131.202.244.5-36647-53-17,131.202.240.150,36647,131.202.244.5,53,2015-03-30 09:33:00,1,1,34.0,141.0,0
131.202.240.150-131.202.244.5-7820-53-17,131.202.240.150,7820,131.202.244.5,53,2015-03-30 09:34:58,1,1,32.0,82.0,0
131.202.240.150-131.202.244.3-28302-53-17,131.202.240.150,28302,131.202.244.3,53,2015-03-30 09:40:30,1,1,34.0,141.0,0
131.202.240.150-131.202.244.5-11621-53-17,131.202.240.150,11621,131.202.244.5,53,2015-03-30 09:30:31,1,1,34.0,141.0,0
131.202.240.150-131.202.6.3-42843-53-17,131.202.240.150,42843,131.202.6.3,53,2015-03-30 09:31:37,1,1,42.0,149.0,0
131.202.240.150-131.202.6.3-46714-53-17,131.202.240.150,46714,131.202.6.3,53,2015-03-30 09:38:31,1,1,34.0,141.0,0
131.202.240.150-131.202.244.5-6523-53-17,131.202.240.150,6523,131.202.244.5,53,2015-03-30 09:30:34,1,1,34.0,141.0,0
131.202.240.150-173.252.79.88-49204-50019-17,131.202.240.150,49204,173.252.79.88,50019,2015-03-30 09:30:34,2,2,196.0,180.0,0
131.202.240.150-131.202.244.3-3432-53-17,131.202.240.150,3432,131.202.244.3,53,2015-03-30 09:39:59,1,1,32.0,82.0,0
