Flow ID,Src IP,Src Port,Dst IP,Dst Port,Timestamp,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,VPN
131.202.240.242-224.0.0.252-57601-5355-17,131.202.240.242,57601,224.0.0.252,5355,2015-04-05 14:14:26,2,0,44.0,0.0,0
131.202.240.87-131.202.240.242-38038-22-6,131.202.240.87,38038,131.202.240.242,22,2015-04-05 14:14:39,3,2,43.0,0.0,0
131.202.240.242-224.0.0.252-50540-5355-17,131.202.240.242,50540,224.0.0.252,5355,2015-04-05 14:15:45,2,0,44.0,0.0,0
62.41.78.227-131.202.240.242-443-64573-6,62.41.78.227,443,131.202.240.242,64573,2015-04-05 14:15:22,1,1,0.0,0.0,0
131.202.240.242-131.202.244.3-58925-53-17,131.202.240.242,58925,131.202.244.3,53,2015-04-05 14:14:23,1,1,46.0,194.0,0
131.202.240.242-131.202.240.45-64918-161-17,131.202.240.242,64918,131.202.240.45,161,2015-04-05 14:14:39,477,477,45889.0,55947.0,0
131.202.240.87-131.202.240.242-38040-22-6,131.202.240.87,38040,131.202.240.242,22,2015-04-05 14:14:49,3,2,43.0,0.0,0
131.202.240.242-224.0.0.252-65427-5355-17,131.202.240.242,65427,224.0.0.252,5355,2015-04-05 14:15:47,2,0,44.0,0.0,0
131.202.240.242-131.202.243.255-137-137-17,131.202.240.242,137,131.202.243.255,137,2015-04-05 14:14:18,16,0,800.0,0.0,0
131.202.240.242-131.202.244.3-56918-53-17,131.202.240.242,56918,131.202.244.3,53,2015-04-05 14:14:44,1,1,45.0,189.0,0
131.202.240.87-131.202.240.242-38043-22-6,131.202.240.87,38043,131.202.240.242,22,2015-04-05 14:15:04,3,2,43.0,0.0,0
131.202.240.242-224.0.0.252-55550-5355-17,131.202.240.242,55550,224.0.0.252,5355,2015-04-05 14:15:47,2,0,44.0,0.0,0
131.202.240.87-131.202.240.242-38046-22-6,131.202.240.87,38046,131.202.240.242,22,2015-04-05 14:15:14,3,2,43.0,0.0,0
131.202.240.87-131.202.240.242-38049-22-6,131.202.240.87,38049,131.202.240.242,22,2015-04-05 14:15:29,3,2,43.0,0.0,0
131.202.240.242-131.202.244.3-58926-53-17,131.202.240.242,58926,131.202.244.3,53,2015-04-05 14:14:24,1,1,45.0,189.0,0
131.202.240.87-131.202.240.242-38042-22-6,131.202.240.87,38042,131.202.240.242,22,2015-04-05 14:14:59,3,2,43.0,0.0,0
131.202.240.87-131.202.240.242-38048-22-6,131.202.240.87,38048,131.202.240.242,22,2015-04-05 14:15:24,3,2,43.0,0.0,0
131.202.240.242-131.202.240.87-0-0-0,131.202.240.242,0,131.202.240.87,0,2015-04-05 14:14:23,5426,0,0.0,0.0,0
131.202.240.87-131.202.240.242-38034-22-6,131.202.240.87,38034,131.202.240.242,22,2015-04-05 14:14:28,3,2,43.0,0.0,0
131.202.240.242-131.202.244.3-58924-53-17,131.202.240.242,58924,131.202.244.3,53,2015-04-05 14:14:18,2,2,92.0,295.0,0
131.202.240.242-224.0.0.252-51208-5355-17,131.202.240.242,51208,224.0.0.252,5355,2015-04-05 14:15:48,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-56916-5355-17,131.202.240.242,56916,224.0.0.252,5355,2015-04-05 14:14:26,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-61082-5355-17,131.202.240.242,61082,224.0.0.252,5355,2015-04-05 14:15:48,2,0,44.0,0.0,0
131.202.240.242-224.0.0.252-59993-5355-17,131.202.240.242,59993,224.0.0.252,5355,2015-04-05 14:15:23,2,0,44.0,0.0,0
131.202.240.242-131.202.244.3-56917-53-17,131.202.240.242,56917,131.202.244.3,53,2015-04-05 14:14:26,1,1,42.0,99.0,0
131.202.240.87-131.202.240.242-38047-22-6,131.202.240.87,38047,131.202.240.242,22,2015-04-05 14:15:19,3,2,43.0,0.0,0
131.202.240.87-131.202.240.242-38044-22-6,131.202.240.87,38044,131.202.240.242,22,2015-04-05 14:15:09,3,2,43.0,0.0,0
131.202.240.87-131.202.240.242-38036-22-6,131.202.240.87,38036,131.202.240.242,22,2015-04-05 14:14:34,3,2,43.0,0.0,0
131.202.240.87-131.202.240.242-38039-22-6,131.202.240.87,38039,131.202.240.242,22,2015-04-05 14:14:44,3,2,43.0,0.0,0
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,2015-04-05 14:14:23,9,0,0.0,0.0,0
131.202.240.87-131.202.240.242-38041-22-6,131.202.240.87,38041,131.202.240.242,22,2015-04-05 14:14:54,3,2,43.0,0.0,0
131.202.240.242-131.202.244.3-56919-53-17,131.202.240.242,56919,131.202.244.3,53,2015-04-05 14:15:22,1,1,43.0,108.0,0
131.202.240.242-224.0.0.252-60377-5355-17,131.202.240.242,60377,224.0.0.252,5355,2015-04-05 14:15:45,2,0,44.0,0.0,0
131.202.240.87-131.202.240.242-38033-22-6,131.202.240.87,38033,131.202.240.242,22,2015-04-05 14:14:23,38304,4713,426104.0,598348.0,0
131.202.240.242-224.0.0.252-55374-5355-17,131.202.240.242,55374,224.0.0.252,5355,2015-04-05 14:15:23,2,0,44.0,0.0,0
